caso sem troca
iteração	 vencidas	 perdidas	 porcentagem	
611	213	398	0.3486088379705401
612	213	399	0.3480392156862745
613	213	400	0.3474714518760196
614	213	401	0.3469055374592834
615	214	401	0.34796747967479674
616	214	402	0.3474025974025974
617	214	403	0.34683954619124796
618	215	403	0.3478964401294498
619	215	404	0.3473344103392569
620	216	404	0.34838709677419355
621	217	404	0.3494363929146538
622	218	404	0.3504823151125402
623	218	405	0.34991974317817015
624	218	406	0.34935897435897434
625	219	406	0.3504
626	220	406	0.3514376996805112
627	220	407	0.3508771929824561
628	220	408	0.3503184713375796
629	220	409	0.3497615262321145
630	220	410	0.3492063492063492
631	220	411	0.3486529318541997
632	221	411	0.34968354430379744
633	221	412	0.34913112164297
634	222	412	0.3501577287066246
635	222	413	0.34960629921259845
636	222	414	0.3490566037735849
637	223	414	0.3500784929356358
638	223	415	0.3495297805642633
639	224	415	0.350547730829421
640	224	416	0.35
641	224	417	0.3494539781591264
642	224	418	0.34890965732087226
643	224	419	0.3483670295489891
644	224	420	0.34782608695652173
645	224	421	0.34728682170542635
646	224	422	0.34674922600619196
647	224	423	0.3462132921174652
648	224	424	0.345679012345679
649	224	425	0.34514637904468415
650	225	425	0.34615384615384615
651	226	425	0.34715821812596004
652	227	425	0.348159509202454
653	227	426	0.34762633996937214
654	227	427	0.3470948012232416
655	227	428	0.3465648854961832
656	227	429	0.34603658536585363
657	227	430	0.3455098934550989
658	228	430	0.3465045592705167
659	228	431	0.34597875569044007
660	228	432	0.34545454545454546
661	228	433	0.34493192133131617
662	229	433	0.3459214501510574
663	230	433	0.3469079939668175
664	230	434	0.3463855421686747
665	231	434	0.3473684210526316
666	231	435	0.34684684684684686
667	231	436	0.34632683658170915
668	232	436	0.3473053892215569
669	232	437	0.34678624813153963
670	232	438	0.34626865671641793
671	232	439	0.34575260804769004
672	232	440	0.34523809523809523
673	233	440	0.3462109955423477
674	233	441	0.3456973293768546
675	234	441	0.3466666666666667
676	234	442	0.34615384615384615
677	234	443	0.345642540620384
678	234	444	0.34513274336283184
679	234	445	0.3446244477172312
680	234	446	0.34411764705882353
681	235	446	0.34508076358296624
682	235	447	0.34457478005865105
683	235	448	0.3440702781844802
684	235	449	0.3435672514619883
685	235	450	0.34306569343065696
686	236	450	0.34402332361516036
687	236	451	0.3435225618631732
688	236	452	0.3430232558139535
689	236	453	0.34252539912917274
690	236	454	0.34202898550724636
691	236	455	0.341534008683068
692	236	456	0.34104046242774566
693	236	457	0.34054834054834054
694	236	458	0.3400576368876081
695	236	459	0.339568345323741
696	236	460	0.3390804597701149
697	236	461	0.3385939741750359
698	236	462	0.33810888252148996
699	237	462	0.33905579399141633
700	237	463	0.3385714285714286
701	237	464	0.33808844507845937
702	238	464	0.33903133903133903
703	238	465	0.3385490753911807
704	239	465	0.33948863636363635
705	239	466	0.33900709219858155
706	239	467	0.3385269121813031
707	239	468	0.33804809052333806
708	239	469	0.3375706214689266
709	239	470	0.33709449929478136
710	239	471	0.33661971830985915
711	239	472	0.3361462728551336
712	239	473	0.3356741573033708
713	240	473	0.33660589060308554
714	241	473	0.33753501400560226
715	242	473	0.3384615384615385
716	242	474	0.33798882681564246
717	242	475	0.33751743375174337
718	243	475	0.3384401114206128
719	243	476	0.3379694019471488
720	244	476	0.3388888888888889
721	245	476	0.33980582524271846
722	245	477	0.33933518005540164
723	245	478	0.338865836791148
724	245	479	0.3383977900552486
725	245	480	0.33793103448275863
726	245	481	0.33746556473829203
727	245	482	0.33700137551581844
728	245	483	0.33653846153846156
729	245	484	0.33607681755829905
730	246	484	0.336986301369863
731	247	484	0.3378932968536252
732	247	485	0.337431693989071
733	247	486	0.3369713506139154
734	247	487	0.33651226158038144
735	247	488	0.3360544217687075
736	248	488	0.33695652173913043
737	249	488	0.3378561736770692
738	249	489	0.33739837398373984
739	250	489	0.3382949932341001
740	251	489	0.33918918918918917
741	252	489	0.340080971659919
742	252	490	0.33962264150943394
743	252	491	0.3391655450874832
744	252	492	0.3387096774193548
745	253	492	0.3395973154362416
746	253	493	0.339142091152815
747	253	494	0.3386880856760375
748	253	495	0.3382352941176471
749	253	496	0.3377837116154873
750	253	497	0.3373333333333333
751	253	498	0.33688415446071907
752	253	499	0.33643617021276595
753	253	500	0.33598937583001326
754	253	501	0.33554376657824936
755	253	502	0.3350993377483444
756	254	502	0.335978835978836
757	254	503	0.33553500660501984
758	255	503	0.33641160949868076
759	255	504	0.3359683794466403
760	256	504	0.3368421052631579
761	256	505	0.3363994743758213
762	256	506	0.3359580052493438
763	257	506	0.33682830930537355
764	257	507	0.33638743455497383
765	258	507	0.33725490196078434
766	259	507	0.3381201044386423
767	259	508	0.3376792698826597
768	259	509	0.3372395833333333
769	260	509	0.3381014304291287
770	260	510	0.33766233766233766
771	260	511	0.33722438391699094
772	260	512	0.33678756476683935
773	261	512	0.33764553686934023
774	262	512	0.3385012919896641
775	262	513	0.33806451612903227
776	262	514	0.33762886597938147
777	263	514	0.3384813384813385
778	264	514	0.3393316195372751
779	264	515	0.33889602053915274
780	264	516	0.3384615384615385
781	264	517	0.3380281690140845
782	265	517	0.3388746803069054
783	265	518	0.3384418901660281
784	265	519	0.3380102040816326
785	265	520	0.3375796178343949
786	265	521	0.3371501272264631
787	265	522	0.33672172808132145
788	265	523	0.3362944162436548
789	265	524	0.3358681875792142
790	265	525	0.33544303797468356
791	266	525	0.336283185840708
792	266	526	0.33585858585858586
793	266	527	0.3354350567465322
794	266	528	0.3350125944584383
795	267	528	0.33584905660377357
796	267	529	0.33542713567839194
797	267	530	0.33500627352572143
798	267	531	0.33458646616541354
799	267	532	0.3341677096370463
800	267	533	0.33375
801	267	534	0.3333333333333333
802	268	534	0.3341645885286783
803	268	535	0.33374844333748444
804	268	536	0.3333333333333333
805	268	537	0.33291925465838507
806	268	538	0.3325062034739454
807	268	539	0.33209417596034696
808	268	540	0.3316831683168317
809	268	541	0.33127317676143386
810	269	541	0.33209876543209876
811	269	542	0.3316892725030826
812	269	543	0.3312807881773399
813	270	543	0.33210332103321033
814	270	544	0.3316953316953317
815	270	545	0.3312883435582822
816	270	546	0.33088235294117646
817	270	547	0.33047735618115054
818	270	548	0.33007334963325186
819	270	549	0.32967032967032966
820	271	549	0.3304878048780488
821	271	550	0.33008526187576126
822	271	551	0.32968369829683697
823	271	552	0.3292831105710814
