caso com troca
iteração	 vencidas	 perdidas	 porcentagem	
276	183	93	0.6630434782608695
277	184	93	0.6642599277978339
278	185	93	0.6654676258992805
279	186	93	0.6666666666666666
280	187	93	0.6678571428571428
281	188	93	0.6690391459074733
282	189	93	0.6702127659574468
283	190	93	0.6713780918727915
284	191	93	0.6725352112676056
285	192	93	0.6736842105263158
286	192	94	0.6713286713286714
287	193	94	0.6724738675958188
288	194	94	0.6736111111111112
289	195	94	0.6747404844290658
290	195	95	0.6724137931034483
291	195	96	0.6701030927835051
292	196	96	0.6712328767123288
293	197	96	0.6723549488054608
294	197	97	0.6700680272108843
295	197	98	0.6677966101694915
296	198	98	0.668918918918919
297	198	99	0.6666666666666666
298	199	99	0.6677852348993288
299	199	100	0.6655518394648829
300	200	100	0.6666666666666666
301	201	100	0.6677740863787376
302	202	100	0.6688741721854304
303	203	100	0.66996699669967
304	204	100	0.6710526315789473
305	205	100	0.6721311475409836
306	205	101	0.6699346405228758
307	205	102	0.6677524429967426
308	205	103	0.6655844155844156
309	206	103	0.6666666666666666
310	207	103	0.667741935483871
311	208	103	0.6688102893890675
312	209	103	0.6698717948717948
313	210	103	0.670926517571885
314	210	104	0.6687898089171974
315	211	104	0.6698412698412698
316	212	104	0.6708860759493671
317	213	104	0.6719242902208202
318	214	104	0.6729559748427673
319	215	104	0.6739811912225705
320	216	104	0.675
321	217	104	0.67601246105919
322	218	104	0.6770186335403726
323	219	104	0.6780185758513931
324	220	104	0.6790123456790124
325	221	104	0.68
326	221	105	0.6779141104294478
327	222	105	0.6788990825688074
328	223	105	0.6798780487804879
329	223	106	0.6778115501519757
330	223	107	0.6757575757575758
331	224	107	0.676737160120846
332	225	107	0.677710843373494
333	226	107	0.6786786786786787
334	226	108	0.6766467065868264
335	227	108	0.6776119402985075
336	228	108	0.6785714285714286
337	229	108	0.6795252225519288
338	230	108	0.6804733727810651
339	230	109	0.6784660766961652
340	231	109	0.6794117647058824
341	231	110	0.6774193548387096
342	231	111	0.6754385964912281
343	231	112	0.673469387755102
344	232	112	0.6744186046511628
345	232	113	0.672463768115942
346	233	113	0.6734104046242775
347	234	113	0.6743515850144092
348	234	114	0.6724137931034483
349	235	114	0.673352435530086
350	236	114	0.6742857142857143
351	236	115	0.6723646723646723
352	237	115	0.6732954545454546
353	238	115	0.6742209631728046
354	239	115	0.6751412429378532
355	239	116	0.6732394366197183
356	240	116	0.6741573033707865
357	241	116	0.6750700280112045
358	241	117	0.6731843575418994
359	242	117	0.6740947075208914
360	243	117	0.675
361	244	117	0.6759002770083102
362	245	117	0.6767955801104972
363	245	118	0.6749311294765841
364	245	119	0.6730769230769231
365	245	120	0.6712328767123288
366	245	121	0.6693989071038251
367	246	121	0.670299727520436
368	247	121	0.6711956521739131
369	248	121	0.6720867208672087
370	248	122	0.6702702702702703
371	249	122	0.6711590296495957
372	250	122	0.6720430107526881
373	250	123	0.6702412868632708
374	251	123	0.6711229946524064
375	252	123	0.672
376	252	124	0.6702127659574468
377	253	124	0.6710875331564987
378	253	125	0.6693121693121693
379	253	126	0.6675461741424802
380	254	126	0.6684210526315789
381	255	126	0.6692913385826772
382	256	126	0.6701570680628273
383	257	126	0.6710182767624021
384	257	127	0.6692708333333334
385	258	127	0.6701298701298701
386	259	127	0.6709844559585493
387	259	128	0.6692506459948321
388	259	129	0.6675257731958762
389	259	130	0.6658097686375322
390	260	130	0.6666666666666666
391	260	131	0.6649616368286445
392	261	131	0.6658163265306123
393	262	131	0.6666666666666666
394	263	131	0.6675126903553299
395	264	131	0.6683544303797468
396	265	131	0.6691919191919192
397	266	131	0.6700251889168766
398	267	131	0.6708542713567839
399	267	132	0.6691729323308271
400	268	132	0.67
401	268	133	0.6683291770573566
402	268	134	0.6666666666666666
403	269	134	0.6674937965260546
404	270	134	0.6683168316831684
405	271	134	0.6691358024691358
406	272	134	0.6699507389162561
407	272	135	0.6683046683046683
408	272	136	0.6666666666666666
409	272	137	0.6650366748166259
410	273	137	0.6658536585365854
411	274	137	0.6666666666666666
412	275	137	0.6674757281553398
413	276	137	0.6682808716707022
414	277	137	0.6690821256038647
415	277	138	0.6674698795180722
416	278	138	0.6682692307692307
417	279	138	0.6690647482014388
418	279	139	0.6674641148325359
419	280	139	0.6682577565632458
420	280	140	0.6666666666666666
421	280	141	0.665083135391924
422	281	141	0.6658767772511849
423	282	141	0.6666666666666666
424	283	141	0.6674528301886793
425	284	141	0.668235294117647
426	285	141	0.6690140845070423
427	286	141	0.6697892271662763
428	287	141	0.6705607476635514
429	288	141	0.6713286713286714
430	289	141	0.672093023255814
431	290	141	0.6728538283062645
432	291	141	0.6736111111111112
433	292	141	0.674364896073903
434	293	141	0.6751152073732719
435	294	141	0.6758620689655173
436	295	141	0.676605504587156
437	296	141	0.6773455377574371
438	297	141	0.678082191780822
439	298	141	0.6788154897494305
440	299	141	0.6795454545454546
441	300	141	0.6802721088435374
442	301	141	0.6809954751131222
443	302	141	0.6817155756207675
444	303	141	0.6824324324324325
445	304	141	0.6831460674157304
446	304	142	0.6816143497757847
447	305	142	0.6823266219239373
448	306	142	0.6830357142857143
449	306	143	0.6815144766146993
450	307	143	0.6822222222222222
451	307	144	0.6807095343680709
452	308	144	0.6814159292035398
453	309	144	0.6821192052980133
454	309	145	0.6806167400881057
455	310	145	0.6813186813186813
456	311	145	0.6820175438596491
457	311	146	0.6805251641137856
458	311	147	0.6790393013100436
459	312	147	0.6797385620915033
460	312	148	0.6782608695652174
461	312	149	0.6767895878524945
462	312	150	0.6753246753246753
463	313	150	0.6760259179265659
464	313	151	0.6745689655172413
465	314	151	0.6752688172043011
466	315	151	0.6759656652360515
467	316	151	0.6766595289079229
468	316	152	0.6752136752136753
469	316	153	0.673773987206823
470	316	154	0.6723404255319149
471	317	154	0.673036093418259
472	317	155	0.6716101694915254
473	317	156	0.6701902748414377
474	317	157	0.6687763713080169
475	317	158	0.6673684210526316
476	318	158	0.6680672268907563
477	319	158	0.6687631027253669
478	320	158	0.6694560669456067
479	321	158	0.6701461377870563
480	322	158	0.6708333333333333
481	323	158	0.6715176715176715
482	323	159	0.6701244813278008
483	324	159	0.6708074534161491
484	324	160	0.6694214876033058
485	325	160	0.6701030927835051
486	325	161	0.668724279835391
487	325	162	0.6673511293634496
488	326	162	0.6680327868852459
489	327	162	0.6687116564417178
490	328	162	0.6693877551020408
491	329	162	0.670061099796334
492	330	162	0.6707317073170732
493	330	163	0.6693711967545639
494	331	163	0.6700404858299596
495	332	163	0.6707070707070707
496	332	164	0.6693548387096774
497	332	165	0.6680080482897385
498	333	165	0.6686746987951807
499	334	165	0.6693386773547094
500	334	166	0.668
501	335	166	0.6686626746506986
502	336	166	0.6693227091633466
503	337	166	0.6699801192842942
504	337	167	0.6686507936507936
505	337	168	0.6673267326732674
506	337	169	0.66600790513834
507	337	170	0.6646942800788954
508	337	171	0.6633858267716536
509	338	171	0.6640471512770137
510	338	172	0.6627450980392157
511	338	173	0.6614481409001957
512	339	173	0.662109375
513	340	173	0.6627680311890838
514	341	173	0.6634241245136187
515	341	174	0.6621359223300971
516	342	174	0.6627906976744186
517	343	174	0.6634429400386848
518	344	174	0.6640926640926641
519	345	174	0.6647398843930635
520	346	174	0.6653846153846154
521	346	175	0.6641074856046065
522	347	175	0.6647509578544061
523	347	176	0.6634799235181644
524	348	176	0.6641221374045801
525	348	177	0.6628571428571428
526	349	177	0.6634980988593155
527	350	177	0.6641366223908919
528	351	177	0.6647727272727273
529	351	178	0.6635160680529301
530	352	178	0.6641509433962264
531	352	179	0.6629001883239172
532	352	180	0.6616541353383458
533	353	180	0.6622889305816135
534	353	181	0.6610486891385767
535	354	181	0.6616822429906543
536	355	181	0.6623134328358209
537	355	182	0.6610800744878957
538	356	182	0.6617100371747212
539	356	183	0.660482374768089
540	356	184	0.6592592592592592
541	357	184	0.6598890942698706
542	357	185	0.6586715867158671
543	357	186	0.6574585635359116
544	358	186	0.6580882352941176
545	359	186	0.6587155963302752
546	360	186	0.6593406593406593
547	361	186	0.659963436928702
548	362	186	0.6605839416058394
549	362	187	0.6593806921675774
550	363	187	0.66
551	364	187	0.6606170598911071
552	364	188	0.6594202898550725
553	365	188	0.6600361663652803
554	366	188	0.6606498194945848
555	367	188	0.6612612612612613
556	367	189	0.6600719424460432
